fecha,ibex_close,tasa_desempleo,prima,pib_trim_per_capita
1994-01-03,3654.5,22.2,248.0,2.7
1994-01-04,3630.300048828125,22.2,252.0,2.7
1994-01-05,3621.199951171875,22.2,256.0,2.7
1994-01-07,3636.39990234375,22.2,258.0,2.7
1994-01-10,3660.60009765625,22.2,255.0,2.7
1994-01-11,3712.39990234375,22.2,255.0,2.7
1994-01-12,3680.10009765625,22.2,256.0,2.7
1994-01-13,3680.800048828125,22.2,240.0,2.7
1994-01-14,3736.39990234375,22.2,240.0,2.7
1994-01-17,3729.10009765625,22.2,237.0,2.7
1994-01-18,3757.0,22.2,237.0,2.7
1994-01-19,3811.300048828125,22.2,221.0,2.7
1994-01-20,3794.39990234375,22.2,216.0,2.7
1994-01-21,3790.5,22.2,215.0,2.7
1994-01-24,3762.60009765625,22.2,216.0,2.7
1994-01-25,3811.5,22.2,210.0,2.7
1994-01-26,3874.60009765625,22.2,215.0,2.7
1994-01-27,3875.89990234375,22.2,208.0,2.7
1994-01-28,3915.699951171875,22.2,211.0,2.7
1994-01-31,3980.5,22.2,206.0,2.7
1994-02-01,3896.89990234375,22.3,205.0,2.7
1994-02-02,3947.0,22.3,209.0,2.7
1994-02-03,3924.60009765625,22.3,208.0,2.7
1994-02-04,3947.39990234375,22.3,207.0,2.7
1994-02-07,3868.800048828125,22.3,210.0,2.7
1994-02-08,3918.39990234375,22.3,201.0,2.7
1994-02-09,3910.5,22.3,210.0,2.7
1994-02-10,3888.0,22.3,209.0,2.7
1994-02-11,3849.300048828125,22.3,218.0,2.7
1994-02-14,3828.5,22.3,215.0,2.7
1994-02-15,3828.5,22.3,221.0,2.7
1994-02-16,3836.199951171875,22.3,227.0,2.7
1994-02-17,3850.5,22.3,235.0,2.7
1994-02-18,3808.199951171875,22.3,223.0,2.7
1994-02-21,3728.5,22.3,228.0,2.7
1994-02-22,3744.300048828125,22.3,241.0,2.7
1994-02-23,3777.0,22.3,230.0,2.7
1994-02-24,3710.0,22.3,228.0,2.7
1994-02-25,3704.199951171875,22.3,247.0,2.7
1994-02-28,3739.699951171875,22.3,252.0,2.7
